	1874                     	2                        	0.0027                   	1,9                      
	1876                     	1                        	0.0004                   	17                       
	1877                     	1                        	0.0334                   	3                        
	1879                     	2                        	0.0453                   	14,20                    
	1881                     	4                        	0.0358                   	7,9,11,12                
	1882                     	3                        	0.0055                   	10,11,17                 
	1887                     	1                        	0.0397                   	10                       
	1889                     	1                        	0.0268                   	10                       
	1907                     	1                        	0.0123                   	18                       
	1948                     	1                        	0.012                    	20                       
	1951                     	4                        	0.0301                   	8,9,11,12                
	1956                     	3                        	0.0161                   	3,7,17                   
	1967                     	3                        	0.0533                   	3,13,14                  
	1971                     	1                        	0.2807                   	3                        
	1977                     	1                        	0.0049                   	3                        
	1991                     	2                        	0.0263                   	3,20                     
	1994                     	3                        	0.0326                   	3,6,10                   
	1995                     	1                        	0.0059                   	20                       
	1996                     	2                        	0.0227                   	2,15                     
	1997                     	1                        	0.0196                   	8                        
	1998                     	7                        	0.0348                   	1,2,4,8,9,12,17          
	2013                     	1                        	0.0373                   	3                        
	2017                     	5                        	0.0409                   	2,10,15,17,19            
	2019                     	1                        	0.0009                   	3                        
	2020                     	1                        	0.0857                   	6                        
	2023                     	2                        	0.0264                   	7,17                     
	2024                     	4                        	0.0222                   	3,8,16,19                
	2029                     	2                        	0.0665                   	3,6                      
	2031                     	9                        	0.0643                   	2,6,7,10,13,14,15,17,19  
	2032                     	1                        	0.0113                   	5                        
	2035                     	1                        	0.034                    	6                        
	2053                     	1                        	0.006                    	9                        
	2075                     	1                        	0.0497                   	3                        
	2076                     	3                        	0.0046                   	1,4,13                   
	2077                     	2                        	0.0246                   	14,20                    
	2078                     	1                        	0.0238                   	10                       
	2090                     	1                        	0.0098                   	13                       
	2091                     	2                        	0.0381                   	4,11                     
	2101                     	1                        	0.0257                   	2                        
	2104                     	2                        	0.0473                   	7,14                     
	2119                     	1                        	0.0009                   	3                        
	2126                     	1                        	0.1097                   	19                       
	2127                     	4                        	0.051                    	1,3,8,19                 
	2128                     	1                        	0.0308                   	8                        
	2129                     	1                        	0.0148                   	12                       
	2134                     	4                        	0.0221                   	2,3,8,11                 
	2151                     	13                       	0.0585                   	1,2,4,5,6,8,10,11,14,16,17,19,20
	2152                     	2                        	0.0413                   	2,20                     
	2153                     	1                        	0.054                    	3                        
	2155                     	1                        	0.001                    	12                       
	2156                     	1                        	0.1841                   	12                       
	2157                     	2                        	0.111                    	2,12                     
	2162                     	8                        	0.0193                   	2,5,7,9,12,13,16,17      
	2167                     	2                        	0.028                    	7,8                      
	2179                     	2                        	0.0308                   	14,17                    
	2184                     	3                        	0.0136                   	11,14,15                 
	2196                     	2                        	0.0339                   	3,6                      
	2201                     	2                        	0.0096                   	7,19                     
	2213                     	1                        	0.0259                   	2                        
	2225                     	2                        	0.0782                   	2,5                      
	2228                     	1                        	0.0044                   	2                        
	2269                     	4                        	0.0214                   	3,6,10,15                
	2276                     	4                        	0.0565                   	1,7,17,18                
	2277                     	1                        	0.0058                   	18                       
	2285                     	2                        	0.051                    	3,8                      
	2287                     	2                        	0.022                    	3,8                      
	2291                     	1                        	0.0179                   	7                        
	2296                     	1                        	0.0513                   	15                       
	2298                     	1                        	0.0233                   	9                        
	2318                     	3                        	0.0712                   	3,8,18                   
	2325                     	8                        	0.0337                   	2,11,12,13,14,16,19,20   
	2333                     	1                        	0.0329                   	8                        
	2351                     	1                        	0.0532                   	18                       
	2352                     	1                        	0.1401                   	18                       
	2356                     	1                        	0.0118                   	17                       
	2357                     	3                        	0.0434                   	4,13,15                  
	2362                     	3                        	0.0379                   	2,5,14                   
	2366                     	5                        	0.0687                   	5,6,12,17,19             
	2379                     	1                        	0.0139                   	18                       
	2384                     	3                        	0.1128                   	5,12,14                  
	2386                     	1                        	0.0044                   	18                       
	2388                     	1                        	0.1819                   	16                       
	2389                     	1                        	0.0161                   	7                        
	1                        	20                       	0.029                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3                        	10                       	0.0163                   	1,3,4,6,8,14,16,17,18,19 
	7                        	2                        	0.0063                   	8,20                     
	9                        	6                        	0.0141                   	3,6,8,9,11,18            
	11                       	7                        	0.0166                   	3,8,9,14,15,16,20        
	13                       	1                        	0.0189                   	16                       
	15                       	1                        	0.0091                   	11                       
	17                       	15                       	0.0204                   	1,2,4,5,6,7,8,9,10,11,12,14,15,19,20
	19                       	4                        	0.0304                   	3,6,8,16                 
	21                       	1                        	0.0245                   	2                        
	23                       	8                        	0.0099                   	2,8,11,12,13,14,16,17    
	27                       	7                        	0.0173                   	2,4,8,9,12,14,20         
	29                       	7                        	0.0178                   	1,2,3,6,7,15,19          
	31                       	7                        	0.0201                   	3,5,9,11,12,18,20        
	37                       	3                        	0.0108                   	2,14,19                  
	41                       	2                        	0.0053                   	5,8                      
	43                       	20                       	0.0234                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	45                       	1                        	0.0114                   	11                       
	51                       	6                        	0.0123                   	1,3,11,12,15,16          
	53                       	5                        	0.0232                   	3,4,5,11,17              
	59                       	15                       	0.013                    	1,4,5,7,8,9,10,11,13,14,15,16,17,18,20
	61                       	1                        	0.0086                   	13                       
	67                       	5                        	0.0137                   	2,4,6,13,18              
	69                       	15                       	0.0201                   	1,3,6,8,9,10,11,12,13,14,15,16,17,19,20
	70                       	2                        	0.0522                   	14,15                    
	71                       	5                        	0.0371                   	5,11,12,14,15            
	72                       	1                        	0.0115                   	12                       
	75                       	4                        	0.011                    	3,12,18,19               
	79                       	7                        	0.0258                   	2,4,6,7,8,10,16          
	81                       	1                        	0.0111                   	16                       
	83                       	1                        	0.0037                   	18                       
	85                       	4                        	0.0148                   	2,4,16,20                
	89                       	5                        	0.0107                   	3,4,8,14,16              
	93                       	6                        	0.0141                   	1,5,6,7,13,17            
	95                       	2                        	0.0066                   	5,17                     
	103                      	8                        	0.0148                   	4,5,8,9,13,14,15,16      
	105                      	2                        	0.0136                   	16,18                    
	109                      	5                        	0.0188                   	3,6,11,13,20             
	111                      	1                        	0.0146                   	12                       
	115                      	20                       	0.0334                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	117                      	9                        	0.0292                   	1,3,4,9,11,12,15,19,20   
	118                      	1                        	0.0069                   	9                        
	121                      	6                        	0.01                     	2,5,6,7,8,14             
	123                      	5                        	0.0236                   	4,7,11,15,18             
	125                      	11                       	0.0257                   	1,3,4,5,7,8,10,11,12,13,16
	126                      	1                        	0.018                    	4                        
	127                      	2                        	0.0073                   	5,7                      
	131                      	13                       	0.0312                   	1,2,3,4,6,9,11,13,14,15,16,17,18
	133                      	8                        	0.0159                   	3,6,8,10,12,14,15,16     
	135                      	2                        	0.0234                   	8,17                     
	137                      	8                        	0.012                    	5,8,11,14,15,16,19,20    
	141                      	8                        	0.007                    	3,5,6,12,13,15,16,18     
	143                      	11                       	0.0233                   	1,2,3,4,7,9,10,13,17,19,20
	144                      	1                        	0.0141                   	19                       
	145                      	7                        	0.0289                   	1,2,7,9,11,16,18         
	151                      	2                        	0.0061                   	14,16                    
	155                      	2                        	0.007                    	4,7                      
	157                      	20                       	0.0251                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	159                      	1                        	0.0131                   	18                       
	165                      	5                        	0.0116                   	7,8,9,12,16              
	167                      	3                        	0.0168                   	6,11,14                  
	171                      	2                        	0.0155                   	3,12                     
	173                      	11                       	0.0126                   	5,6,7,9,10,13,15,16,17,19,20
	175                      	1                        	0.0067                   	7                        
	177                      	1                        	0.0075                   	3                        
	181                      	6                        	0.0171                   	4,7,10,15,17,18          
	183                      	10                       	0.0232                   	1,3,6,8,11,12,13,14,16,20
	184                      	1                        	0.0584                   	3                        
	185                      	2                        	0.0251                   	3,6                      
	189                      	7                        	0.0084                   	4,6,8,9,11,12,17         
	191                      	2                        	0.0162                   	11,15                    
	193                      	7                        	0.0233                   	2,7,9,12,15,16,18        
	195                      	3                        	0.0122                   	9,12,19                  
	197                      	1                        	0.0023                   	15                       
	199                      	5                        	0.0148                   	1,3,5,9,16               
	203                      	4                        	0.0155                   	8,13,15,17               
	207                      	6                        	0.0053                   	1,2,3,5,6,16             
	211                      	2                        	0.0203                   	12,14                    
	217                      	7                        	0.0071                   	5,7,9,12,14,16,20        
	223                      	10                       	0.0246                   	4,5,7,8,9,10,14,16,17,18 
	225                      	1                        	0.0003                   	18                       
	227                      	1                        	0.0183                   	4                        

2.3 Distance restraint violations summary
-----------------------------------------

	                                                                 	Intrresidue         	Sequential          	Medium-range        	Long-range          	Total               

	Number of consistently violated restraints (violated in all models)	     0 (0.0%)       	     0 (0.0%)       	     4 (0.15%)      	     0 (0.0%)       	     4 (0.15%)      
	Number of violated restraints (at least in one model)            	    53 (2.02%)      	    40 (1.53%)      	   169 (6.46%)      	   203 (7.75%)      	   465 (17.76%)     
	Number of non violated restraints                                	   519 (19.82%)     	   552 (21.08%)     	   613 (23.41%)     	   469 (17.91%)     	  2153 (82.24%)     
	Total number of restraints                                       	   572 (21.85%)     	   592 (22.61%)     	   782 (29.87%)     	   672 (25.67%)     	  2618 (100.0%)     


2.4 List of largest 10 distance violations
------------------------------------------

	Restraint ID                  	Model ID                      	|Exp. value - Model value|A   

	1451                          	15                            	0.2985                        
	1440                          	3                             	0.2835                        
	1971                          	3                             	0.2807                        
	839                           	15                            	0.2552                        
	839                           	14                            	0.2464                        
	1278                          	17                            	0.2139                        
	2384                          	14                            	0.2108                        
	42                            	11                            	0.1962                        
	2156                          	12                            	0.1841                        
	2388                          	16                            	0.1819                        


2.5 List of largest 10 average distance violations
--------------------------------------------------

	Restraint ID                  	Number of Models              	|Exp. value - Model value|A   

